key,emo,version,name,status,uni,codepoints
woman_supervillain_medium_dark_skin_tone,🦹🏾‍♀,E11.0,woman supervillain: medium-dark skin tone,minimally-qualified,1f9b9_1f3fe_200d_2640,1F9B9 1F3FE 200D 2640
woman_supervillain_dark_skin_tone,🦹🏿‍♀,E11.0,woman supervillain: dark skin tone,minimally-qualified,1f9b9_1f3ff_200d_2640,1F9B9 1F3FF 200D 2640
mage,🧙,E5.0,mage,fully-qualified,1f9d9,1F9D9
mage_light_skin_tone,🧙🏻,E5.0,mage: light skin tone,fully-qualified,1f9d9_1f3fb,1F9D9 1F3FB
mage_medium_light_skin_tone,🧙🏼,E5.0,mage: medium-light skin tone,fully-qualified,1f9d9_1f3fc,1F9D9 1F3FC
mage_medium_skin_tone,🧙🏽,E5.0,mage: medium skin tone,fully-qualified,1f9d9_1f3fd,1F9D9 1F3FD
mage_medium_dark_skin_tone,🧙🏾,E5.0,mage: medium-dark skin tone,fully-qualified,1f9d9_1f3fe,1F9D9 1F3FE
mage_dark_skin_tone,🧙🏿,E5.0,mage: dark skin tone,fully-qualified,1f9d9_1f3ff,1F9D9 1F3FF
man_mage,🧙‍♂,E5.0,man mage,minimally-qualified,1f9d9_200d_2642,1F9D9 200D 2642
man_mage_light_skin_tone,🧙🏻‍♂,E5.0,man mage: light skin tone,minimally-qualified,1f9d9_1f3fb_200d_2642,1F9D9 1F3FB 200D 2642
man_mage_medium_light_skin_tone,🧙🏼‍♂,E5.0,man mage: medium-light skin tone,minimally-qualified,1f9d9_1f3fc_200d_2642,1F9D9 1F3FC 200D 2642
man_mage_medium_skin_tone,🧙🏽‍♂,E5.0,man mage: medium skin tone,minimally-qualified,1f9d9_1f3fd_200d_2642,1F9D9 1F3FD 200D 2642
man_mage_medium_dark_skin_tone,🧙🏾‍♂,E5.0,man mage: medium-dark skin tone,minimally-qualified,1f9d9_1f3fe_200d_2642,1F9D9 1F3FE 200D 2642
man_mage_dark_skin_tone,🧙🏿‍♂,E5.0,man mage: dark skin tone,minimally-qualified,1f9d9_1f3ff_200d_2642,1F9D9 1F3FF 200D 2642
woman_mage,🧙‍♀,E5.0,woman mage,minimally-qualified,1f9d9_200d_2640,1F9D9 200D 2640
woman_mage_light_skin_tone,🧙🏻‍♀,E5.0,woman mage: light skin tone,minimally-qualified,1f9d9_1f3fb_200d_2640,1F9D9 1F3FB 200D 2640
woman_mage_medium_light_skin_tone,🧙🏼‍♀,E5.0,woman mage: medium-light skin tone,minimally-qualified,1f9d9_1f3fc_200d_2640,1F9D9 1F3FC 200D 2640
woman_mage_medium_skin_tone,🧙🏽‍♀,E5.0,woman mage: medium skin tone,minimally-qualified,1f9d9_1f3fd_200d_2640,1F9D9 1F3FD 200D 2640
woman_mage_medium_dark_skin_tone,🧙🏾‍♀,E5.0,woman mage: medium-dark skin tone,minimally-qualified,1f9d9_1f3fe_200d_2640,1F9D9 1F3FE 200D 2640
woman_mage_dark_skin_tone,🧙🏿‍♀,E5.0,woman mage: dark skin tone,minimally-qualified,1f9d9_1f3ff_200d_2640,1F9D9 1F3FF 200D 2640
fairy,🧚,E5.0,fairy,fully-qualified,1f9da,1F9DA
fairy_light_skin_tone,🧚🏻,E5.0,fairy: light skin tone,fully-qualified,1f9da_1f3fb,1F9DA 1F3FB
fairy_medium_light_skin_tone,🧚🏼,E5.0,fairy: medium-light skin tone,fully-qualified,1f9da_1f3fc,1F9DA 1F3FC
fairy_medium_skin_tone,🧚🏽,E5.0,fairy: medium skin tone,fully-qualified,1f9da_1f3fd,1F9DA 1F3FD
fairy_medium_dark_skin_tone,🧚🏾,E5.0,fairy: medium-dark skin tone,fully-qualified,1f9da_1f3fe,1F9DA 1F3FE
fairy_dark_skin_tone,🧚🏿,E5.0,fairy: dark skin tone,fully-qualified,1f9da_1f3ff,1F9DA 1F3FF
man_fairy,🧚‍♂,E5.0,man fairy,minimally-qualified,1f9da_200d_2642,1F9DA 200D 2642
man_fairy_light_skin_tone,🧚🏻‍♂,E5.0,man fairy: light skin tone,minimally-qualified,1f9da_1f3fb_200d_2642,1F9DA 1F3FB 200D 2642
